,date,voltage
133,2022-12-02 00:23:34.613,27.4
134,2022-12-02 00:24:36.704,27.4
135,2022-12-02 00:25:38.795,27.4
136,2022-12-02 00:26:40.889,27.4
137,2022-12-02 00:27:42.987,27.4
138,2022-12-02 00:28:45.082,27.4
139,2022-12-02 00:29:47.173,27.4
140,2022-12-02 00:30:49.274,27.4
141,2022-12-02 00:31:51.371,27.4
142,2022-12-02 00:32:53.467,27.4
143,2022-12-02 00:33:55.556,27.4
144,2022-12-02 00:34:57.652,27.4
145,2022-12-02 00:35:59.742,27.4
146,2022-12-02 00:37:01.851,27.4
147,2022-12-02 00:38:03.945,27.4
148,2022-12-02 00:39:06.041,27.4
149,2022-12-02 00:40:08.141,27.4
150,2022-12-02 00:41:10.231,27.4
151,2022-12-02 00:42:12.321,27.4
152,2022-12-02 00:43:14.418,27.4
153,2022-12-02 00:44:16.516,27.4
154,2022-12-02 00:45:18.608,27.4
155,2022-12-02 00:46:20.706,27.4
156,2022-12-02 00:47:22.812,27.4
157,2022-12-02 00:48:24.903,27.4
158,2022-12-02 00:49:26.991,27.4
159,2022-12-02 00:50:29.110,27.4
160,2022-12-02 00:51:31.207,27.4
161,2022-12-02 00:52:33.303,27.4
162,2022-12-02 00:53:35.395,27.4
163,2022-12-02 00:54:37.484,27.4
164,2022-12-02 00:55:39.584,27.4
165,2022-12-02 00:56:41.690,27.4
166,2022-12-02 00:57:43.778,27.4
167,2022-12-02 00:58:45.886,27.4
168,2022-12-02 00:59:47.989,27.4
169,2022-12-02 01:00:50.095,27.4
170,2022-12-02 01:01:52.192,27.4
171,2022-12-02 01:02:54.282,27.4
172,2022-12-02 01:03:56.398,27.4
173,2022-12-02 01:04:58.503,27.4
174,2022-12-02 01:06:00.608,27.4
175,2022-12-02 01:07:02.712,27.4
176,2022-12-02 01:08:04.809,27.4
177,2022-12-02 01:09:06.917,27.4
178,2022-12-02 01:10:09.008,27.4
179,2022-12-02 01:11:11.100,27.4
180,2022-12-02 01:12:13.192,27.4
181,2022-12-02 01:13:15.295,27.4
182,2022-12-02 01:14:17.393,27.4
183,2022-12-02 01:15:19.492,27.4
184,2022-12-02 01:16:21.601,27.4
185,2022-12-02 01:17:23.692,27.4
186,2022-12-02 01:18:25.817,27.4
187,2022-12-02 01:19:27.898,27.4
188,2022-12-02 01:20:29.983,27.4
189,2022-12-02 01:21:32.077,27.4
190,2022-12-02 01:22:34.175,27.4
191,2022-12-02 01:23:36.279,27.4
